iter	Passed	Remaining
1028	19580	37506
1029	19597	37483
1030	19614	37459
1031	19633	37440
1032	19653	37422
1033	19669	37399
1034	19688	37380
1035	19704	37355
1036	19721	37331
1037	19737	37307
1038	19753	37283
1039	19769	37258
1040	19785	37232
1041	19801	37208
1042	19817	37183
1043	19834	37160
1044	19852	37140
1045	19868	37116
1046	19884	37091
1047	19900	37067
1048	19916	37042
1049	19932	37017
1050	19948	36992
1051	19964	36968
1052	19980	36943
1053	19995	36918
1054	20011	36893
1055	20030	36874
1056	20047	36851
1057	20064	36828
1058	20080	36805
1059	20097	36782
1060	20112	36756
1061	20128	36730
1062	20142	36703
1063	20157	36677
1064	20172	36651
1065	20188	36627
1066	20205	36605
1067	20221	36581
1068	20237	36556
1069	20255	36536
1070	20272	36512
1071	20290	36491
1072	20306	36467
1073	20322	36444
1074	20340	36424
1075	20361	36408
1076	20377	36384
1077	20393	36360
1078	20409	36335
1079	20424	36310
1080	20440	36285
1081	20456	36261
1082	20472	36237
1083	20489	36215
1084	20504	36190
1085	20520	36166
1086	20537	36143
1087	20553	36119
1088	20568	36094
1089	20585	36072
1090	20602	36049
1091	20618	36025
1092	20640	36012
1093	20656	35988
1094	20672	35965
1095	20690	35944
1096	20707	35921
1097	20722	35897
1098	20738	35872
1099	20754	35848
1100	20770	35824
1101	20786	35800
1102	20802	35777
1103	20818	35754
1104	20834	35730
1105	20854	35712
1106	20870	35688
1107	20885	35664
1108	20901	35640
1109	20918	35617
1110	20933	35593
1111	20949	35569
1112	20965	35545
1113	20981	35521
1114	20997	35498
1115	21015	35476
1116	21033	35457
1117	21051	35437
1118	21068	35414
1119	21083	35390
1120	21098	35364
1121	21112	35338
1122	21127	35313
1123	21142	35287
1124	21158	35264
1125	21175	35242
1126	21193	35222
1127	21209	35199
1128	21227	35178
1129	21244	35157
1130	21266	35142
1131	21282	35120
1132	21302	35103
1133	21318	35079
1134	21334	35057
1135	21353	35037
1136	21369	35015
1137	21386	34991
1138	21401	34968
1139	21420	34949
1140	21436	34926
1141	21452	34902
1142	21468	34879
1143	21484	34855
1144	21499	34831
1145	21516	34809
1146	21531	34784
1147	21547	34762
1148	21564	34739
1149	21580	34716
1150	21598	34696
1151	21614	34673
1152	21630	34649
1153	21646	34627
1154	21668	34612
1155	21684	34590
1156	21702	34570
1157	21718	34546
1158	21734	34524
1159	21751	34502
1160	21767	34478
1161	21783	34455
1162	21799	34433
1163	21816	34410
1164	21834	34391
1165	21850	34368
1166	21866	34345
1167	21882	34323
1168	21899	34300
1169	21916	34279
1170	21932	34256
1171	21949	34235
1172	21965	34212
1173	21982	34190
1174	21998	34167
1175	22017	34149
1176	22035	34129
